element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,modified,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out,player_id
120,4,16,1,False,2025-08-17T13:00:00Z,3,1,1,False,45,0,0,0,0,0,0,0,0,0,0,0,1,4.6,0.9,6.0,1.2,2,3,2,7,0,0.00,0.04,0.04,0.37,70,0,31063,0,0,120
120,13,2,3,True,2025-08-23T14:00:00Z,1,0,2,False,78,0,0,1,0,0,0,0,0,0,0,0,13,16.4,17.3,9.0,4.3,3,5,2,10,1,0.10,0.02,0.12,0.95,70,-3319,30082,2048,5367,120
120,28,17,0,False,2025-08-30T14:00:00Z,2,1,3,False,89,0,0,0,1,0,0,1,0,0,0,0,-6,6.6,0.7,29.0,3.6,1,2,1,4,1,0.95,0.00,0.95,1.41,70,3559,40500,8760,5201,120
121,4,16,0,False,2025-08-17T13:00:00Z,3,1,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,60,0,109890,0,0,121
121,13,2,5,True,2025-08-23T14:00:00Z,1,0,2,False,90,0,0,1,0,0,0,0,0,0,0,0,18,27.8,43.2,14.0,8.5,5,7,3,15,1,0.06,0.24,0.30,1.19,59,-23155,90876,2058,25213,121
121,28,17,2,False,2025-08-30T14:00:00Z,2,1,3,False,90,0,0,0,2,0,0,0,0,0,0,0,6,11.2,38.5,2.0,5.2,1,0,0,1,1,0.00,0.27,0.27,1.54,59,7264,107709,17760,10496,121
122,4,16,1,False,2025-08-17T13:00:00Z,3,1,1,False,45,0,0,0,3,0,0,0,0,0,0,0,5,4.0,1.8,0.0,0.6,0,2,2,4,1,0.00,0.01,0.01,1.49,55,0,5740,0,0,122
122,13,2,0,True,2025-08-23T14:00:00Z,1,0,2,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,55,-699,6366,410,1109,122
122,28,17,0,False,2025-08-30T14:00:00Z,2,1,3,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,54,-915,5907,321,1236,122
123,4,16,2,False,2025-08-17T13:00:00Z,3,1,1,False,90,0,0,0,3,0,0,0,0,0,0,0,7,5.4,5.0,3.0,1.3,0,4,3,7,1,0.03,0.03,0.06,1.86,50,0,29503,0,0,123
123,13,2,0,True,2025-08-23T14:00:00Z,1,0,2,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,50,-1427,31763,3079,4506,123
123,28,17,1,False,2025-08-30T14:00:00Z,2,1,3,False,1,0,0,0,1,0,0,0,0,0,0,0,3,0.0,0.1,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.13,50,-5320,27391,1946,7266,123
124,4,16,1,False,2025-08-17T13:00:00Z,3,1,1,False,21,0,0,0,0,0,0,0,0,0,0,0,2,0.0,1.1,0.0,0.1,0,3,0,3,0,0.00,0.00,0.00,0.00,50,0,28255,0,0,124
124,13,2,3,True,2025-08-23T14:00:00Z,1,0,2,False,68,0,0,1,0,0,0,0,0,0,0,0,8,9.8,2.3,5.0,1.7,3,4,2,9,1,0.03,0.00,0.03,0.88,50,-3018,28882,1542,4560,124
124,28,17,3,False,2025-08-30T14:00:00Z,2,1,3,False,70,0,0,1,0,0,0,0,0,0,0,0,9,3.8,6.7,0.0,1.1,2,3,0,5,1,0.00,0.01,0.01,0.48,50,-1058,29860,2637,3695,124
