element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,modified,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out,player_id
525,31,1,1,False,2025-09-13T11:30:00Z,3,0,4,False,59,0,0,0,2,0,0,0,0,0,0,0,4,4.4,11.6,17.0,3.3,1,0,0,1,1,0.03,0.04,0.07,1.75,77,-525097,2578387,132233,657330,525
526,4,5,1,True,2025-08-17T13:00:00Z,3,1,1,False,11,0,0,0,0,0,0,0,0,0,0,0,2,1.0,1.5,2.0,0.5,1,0,0,1,0,0.00,0.00,0.00,0.00,60,0,76886,0,0,526
526,15,8,1,False,2025-08-24T13:00:00Z,1,1,2,False,2,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.3,6.0,0.4,0,0,0,0,0,0.07,0.00,0.07,0.00,60,-14720,74056,3612,18332,526
526,27,19,1,True,2025-08-31T13:00:00Z,0,3,3,False,17,0,0,0,3,0,0,0,0,0,0,0,4,1.0,0.3,0.0,0.1,0,1,1,2,0,0.00,0.00,0.00,1.83,59,-14036,63612,3374,17410,526
526,31,1,0,False,2025-09-13T11:30:00Z,3,0,4,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,59,-9246,57237,2355,11601,526
527,4,5,0,True,2025-08-17T13:00:00Z,3,1,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,55,0,74110,0,0,527
527,15,8,0,False,2025-08-24T13:00:00Z,1,1,2,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,55,-11403,72590,4455,15858,527
527,27,19,0,True,2025-08-31T13:00:00Z,0,3,3,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,54,-13497,61885,3227,16724,527
527,31,1,0,False,2025-09-13T11:30:00Z,3,0,4,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,54,-8906,55208,2145,11051,527
669,4,5,9,True,2025-08-17T13:00:00Z,3,1,1,False,78,1,0,0,1,0,0,0,0,0,0,2,29,32.2,0.8,27.0,6.0,0,3,0,3,1,0.10,0.01,0.11,1.50,60,0,27774,0,0,669
669,15,8,7,False,2025-08-24T13:00:00Z,1,1,2,False,70,0,1,0,1,0,0,0,0,0,0,2,21,23.8,29.2,8.0,6.1,2,3,0,5,1,0.00,0.35,0.35,1.10,60,30978,97626,44340,13362,669
